,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
146,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 3}",8905,9357,8788
147,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 4}",7427,8537,7504
148,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 5}",6957,7856,6994
149,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 6}",7285,8095,6914
150,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 7}",6655,8355,6591
151,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 8}",6521,8285,6451
152,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 9}",5815,8177,6012
153,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 1}",10081,9234,9955
154,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 2}",10193,10017,9913
155,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 3}",8905,9357,8788
156,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 4}",7427,8537,7504
157,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 5}",6957,7856,6994
158,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 6}",7285,8095,6914
159,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 7}",6655,8355,6591
160,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 8}",6521,8285,6451
161,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 9}",5815,8177,6012
162,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 1}",10081,9234,9955
163,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 2}",10193,10017,9913
164,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 3}",8905,9357,8788
165,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 4}",7427,8537,7504
166,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 5}",6957,7856,6994
167,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 6}",7285,8095,6914
168,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 7}",6655,8355,6591
169,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 8}",6521,8285,6451
170,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 9}",5815,8177,6012
171,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 1}",10081,9234,9955
172,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 2}",10193,10017,9913
173,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 3}",8905,9357,8788
174,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 4}",7427,8537,7504
175,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 5}",6957,7856,6994
176,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 6}",7285,8095,6914
177,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 7}",6655,8355,6591
178,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 8}",6521,8285,6451
179,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 9}",5815,8177,6012
180,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 1}",10081,9234,9955
181,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 2}",10193,10017,9913
182,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 3}",8905,9357,8788
183,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 4}",7427,8537,7504
184,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 5}",6957,7856,6994
185,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 6}",7285,8095,6914
186,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 7}",6655,8355,6591
187,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 8}",6521,8285,6451
188,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 9}",5815,8177,6012
189,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",10081,9234,9955
190,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",10165,9985,9927
191,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",8919,9379,8846
192,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",7489,8509,7546
193,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",6986,7883,7059
194,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",7307,8053,6928
195,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",6683,8373,6611
196,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 8}",6535,8301,6467
197,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 9}",5829,8147,6028
198,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1}",10081,9234,9955
199,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 2}",10165,9985,9927
200,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 3}",8919,9379,8846
201,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 4}",7489,8509,7546
202,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 5}",6986,7883,7059
203,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 6}",7307,8053,6928
204,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 7}",6683,8373,6611
205,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 8}",6535,8301,6467
206,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 9}",5829,8147,6028
207,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 1}",10081,9234,9955
208,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 2}",10165,9985,9927
209,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 3}",8919,9379,8846
210,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 4}",7489,8509,7546
211,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 5}",6986,7883,7059
212,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 6}",7307,8053,6928
213,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 7}",6683,8373,6611
214,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 8}",6535,8301,6467
215,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 9}",5829,8147,6028
216,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1}",10081,9234,9955
217,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 2}",10165,9985,9927
218,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 3}",8919,9379,8846
219,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 4}",7489,8509,7546
220,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 5}",6986,7883,7059
221,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 6}",7307,8053,6928
222,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 7}",6683,8373,6611
223,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 8}",6535,8301,6467
224,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 9}",5829,8147,6028
225,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 1}",10081,9234,9955
226,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 2}",10165,9985,9927
227,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 3}",8919,9379,8846
228,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 4}",7489,8509,7546
229,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 5}",6986,7883,7059
230,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 6}",7307,8053,6928
231,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 7}",6683,8373,6611
232,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 8}",6535,8301,6467
233,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 9}",5829,8147,6028
234,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 1}",10081,9234,9955
235,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 2}",10165,9985,9927
236,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 3}",8919,9379,8846
237,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 4}",7489,8509,7546
